year,name,rate
2009,菱镁矿储量(万吨),207981.8
2009,普通萤石储量(万吨),4401.3
2009,硫铁矿储量(万吨),162133.4
2009,磷矿储量(亿吨),31.7
2009,钾盐储量(万吨),35840.9
2009,盐矿储量(亿吨),1730.6
2009,芒硝储量(亿吨),90.8
2009,重晶石储量(万吨),9537.2
2009,玻璃硅质原料储量(万吨),147172.9
2009,石墨储量(万吨),5432
2009,滑石储量(万吨),12755.6
2009,高岭土储量(万吨),63593.1
2010,石油储量(万吨),317435.3
2010,天然气储量(亿立方米),37793.2
2010,煤炭储量(亿吨),2793.9
2010,铁矿储量(亿吨),222
2010,锰矿储量(万吨),19515.6
2010,铬矿储量(万吨),442.1
2010,钒矿储量(万吨),1242.6
2010,原生钛铁矿储量(万吨),23043
2010,铜矿储量(万吨),2870.7
2010,铅矿储量(万吨),1272
2010,锌矿储量(万吨),3251.4
2010,铝土矿储量(万吨),89732.7
2010,镍矿储量(万吨),312.1
2010,钨矿储量(万吨),220.8
2010,锡矿储量(万吨),138.2
2010,钼矿储量(万吨),463
2010,锑矿储量(万吨),71
2010,金矿储量(吨),1863.4
2010,银矿储量(吨),36363.7
2010,稀土矿储量(万吨),0
2010,菱镁矿储量(万吨),182936.8
2010,普通萤石储量(万吨),4055.9
2010,硫铁矿储量(万吨),159152.1
2010,磷矿储量(亿吨),29.6
2010,钾盐储量(万吨),43885.6
2010,盐矿储量(亿吨),1750.7
2010,芒硝储量(亿吨),91.1
2010,重晶石储量(万吨),9498.6
2010,玻璃硅质原料储量(万吨),146170.5
2010,石墨储量(万吨),5412.3
2010,滑石储量(万吨),12594.2
2010,高岭土储量(万吨),63933.2
2011,石油储量(万吨),323967.9
2011,天然气储量(亿立方米),40206.4
2011,煤炭储量(亿吨),2157.9
2011,铁矿储量(亿吨),192.8
2011,锰矿储量(万吨),18240.9
2011,铬矿储量(万吨),413.3
2011,钒矿储量(万吨),1230.6
2011,原生钛铁矿储量(万吨),24585.4
2011,铜矿储量(万吨),2812.4
2011,铅矿储量(万吨),1291.7
2011,锌矿储量(万吨),3124.4
2011,铝土矿储量(万吨),105064.3
2011,镍矿储量(万吨),272
2011,钨矿储量(万吨),156.7
2011,锡矿储量(万吨),138.8
2011,钼矿储量(万吨),586.1
2011,锑矿储量(万吨),55.8
2011,金矿储量(吨),1790.4
2011,银矿储量(吨),36042.2
2011,稀土矿储量(万吨),0
2011,菱镁矿储量(万吨),185163.4
2011,普通萤石储量(万吨),3547.2
2011,硫铁矿储量(万吨),136900.6
2011,磷矿储量(亿吨),28.9
2011,钾盐储量(万吨),60800
2011,盐矿储量(亿吨),2053
2011,芒硝储量(亿吨),94.2
2011,重晶石储量(万吨),4194.8
2011,玻璃硅质原料储量(万吨),161192.4
2011,石墨储量(万吨),6229.9
2011,滑石储量(万吨),11808.5
2011,高岭土储量(万吨),37764.6
2012,石油储量(万吨),333258.3
2012,天然气储量(亿立方米),43789.9
2012,煤炭储量(亿吨),2298.9
2012,铁矿储量(亿吨),194.8
2012,锰矿储量(万吨),20938.2
2012,铬矿储量(万吨),405
2012,钒矿储量(万吨),877.5
2012,原生钛铁矿储量(万吨),21088.2
2012,铜矿储量(万吨),2734.4
2012,铅矿储量(万吨),1454.7
2012,锌矿储量(万吨),3490.7
2012,铝土矿储量(万吨),90590
2012,镍矿储量(万吨),260.9
2012,钨矿储量(万吨),233.8
2012,锡矿储量(万吨),117.5
2012,钼矿储量(万吨),651.4
2012,锑矿储量(万吨),45
2012,金矿储量(吨),1866.7
2012,银矿储量(吨),37034.4
2012,稀土矿储量(万吨),0
2012,菱镁矿储量(万吨),156499.3
2012,普通萤石储量(万吨),3712.6
2012,硫铁矿储量(万吨),134285.4
2012,磷矿储量(亿吨),30.7
